date,time,provider,model,input_tokens,output_tokens,cost_usd
2026-03-27,14:38:28,openai,gpt-4o-mini,1668,304,0.007210
2026-03-27,14:47:07,openai,gpt-4o-mini,1679,374,0.007938
2026-03-27,14:51:20,openai,gpt-4o-mini,1584,337,0.007330
2026-03-27,15:08:22,openai,gpt-4o-mini,1489,374,0.007463
2026-03-27,15:18:17,openai,gpt-4o-mini,1461,328,0.006933
2026-03-28,05:19:09,openai,gpt-4o-mini,1479,381,0.007508
2026-03-28,05:21:33,openai,gpt-4o-mini,1470,385,0.007525
2026-03-28,05:31:24,openai,gpt-4o-mini,1382,320,0.006655
2026-03-28,05:39:25,openai,gpt-4o-mini,1395,356,0.007047
2026-03-28,05:42:09,openai,gpt-4o-mini,1438,341,0.007005
2026-03-28,05:55:48,openai,gpt-4o-mini,1398,336,0.006855
2026-03-28,07:54:20,openai,gpt-4o-mini,1397,350,0.006992
2026-03-28,08:01:40,openai,gpt-4o-mini,1397,380,0.007293
2026-03-28,08:27:51,openai,gpt-4o-mini,1411,338,0.006907
2026-03-28,09:43:04,openai,gpt-4o-mini,1412,345,0.006980
