date,time,provider,model,input_tokens,output_tokens,cost_usd
2026-03-25,15:28:22,openai,gpt-4o-mini,390,235,0.003325
2026-03-25,15:33:23,openai,gpt-4o-mini,390,247,0.003445
2026-03-26,07:47:47,openai,gpt-4o-mini,390,245,0.003425
2026-03-26,07:52:33,openai,gpt-4o-mini,461,235,0.003503
2026-03-26,15:10:30,openai,gpt-4o-mini,710,284,0.004615
2026-03-26,15:32:17,openai,gpt-4o-mini,710,290,0.004675
2026-03-26,15:54:15,openai,gpt-4o-mini,756,273,0.004620
2026-03-26,15:57:37,openai,gpt-4o-mini,756,279,0.004680
2026-03-26,15:58:44,openai,gpt-4o-mini,756,281,0.004700
2026-03-26,16:04:40,openai,gpt-4o-mini,756,280,0.004690
2026-03-26,16:07:40,openai,gpt-4o-mini,756,279,0.004680
2026-03-26,17:25:06,openai,gpt-4o-mini,682,366,0.005365
2026-03-27,12:28:03,openai,gpt-4o-mini,696,287,0.004610
2026-03-27,12:40:27,openai,gpt-4o-mini,764,293,0.004840
2026-03-27,12:54:36,openai,gpt-4o-mini,793,284,0.004823
2026-03-27,12:57:10,openai,gpt-4o-mini,793,296,0.004942
2026-03-27,13:02:42,openai,gpt-4o-mini,793,289,0.004873
2026-03-27,13:58:24,openai,gpt-4o-mini,793,288,0.004863
2026-03-27,14:05:58,openai,gpt-4o-mini,793,290,0.004882
2026-03-27,14:09:21,openai,gpt-4o-mini,793,292,0.004902
2026-03-27,14:17:15,openai,gpt-4o-mini,793,283,0.004812
2026-03-27,14:37:47,openai,gpt-4o-mini,793,287,0.004853
2026-03-27,14:46:21,openai,gpt-4o-mini,793,277,0.004752
2026-03-27,14:50:30,openai,gpt-4o-mini,793,288,0.004863
2026-03-27,15:07:32,openai,gpt-4o-mini,793,282,0.004802
2026-03-27,15:17:30,openai,gpt-4o-mini,793,288,0.004863
2026-03-28,05:18:28,openai,gpt-4o-mini,793,287,0.004853
2026-03-28,05:20:42,openai,gpt-4o-mini,793,289,0.004873
2026-03-28,05:30:33,openai,gpt-4o-mini,793,279,0.004772
2026-03-28,05:36:23,openai,gpt-4o-mini,793,288,0.004863
2026-03-28,05:38:41,openai,gpt-4o-mini,793,286,0.004842
2026-03-28,05:41:22,openai,gpt-4o-mini,793,293,0.004913
2026-03-28,05:55:08,openai,gpt-4o-mini,793,286,0.004842
2026-03-28,06:22:23,openai,gpt-4o-mini,793,283,0.004812
2026-03-28,07:53:29,openai,gpt-4o-mini,793,282,0.004802
2026-03-28,08:00:23,openai,gpt-4o-mini,793,283,0.004812
2026-03-28,08:26:57,openai,gpt-4o-mini,793,288,0.004863
2026-03-28,09:41:58,openai,gpt-4o-mini,793,288,0.004863
