date,time,provider,model,input_tokens,output_tokens,cost
2026-02-26,14:39:23,chatgpt,gpt-4o-mini,1435,83,0.004417
2026-02-26,14:44:32,chatgpt,gpt-4o-mini,1418,111,0.004655
2026-02-26,14:47:21,chatgpt,gpt-4o-mini,1418,90,0.004445
2026-02-27,15:09:29,chatgpt,gpt-4o-mini,1418,97,0.004515
2026-02-27,15:12:15,chatgpt,gpt-4o-mini,1418,97,0.004515
2026-02-27,15:21:47,chatgpt,gpt-4o-mini,1418,118,0.004725
2026-03-04,09:38:24,chatgpt,gpt-4o-mini,2441,111,0.007213
2026-03-04,09:43:18,chatgpt,gpt-4o-mini,2476,101,0.007200
2026-03-15,14:51:13,chatgpt,gpt-4o-mini,5270,102,0.014195
2026-03-16,11:44:16,chatgpt,gpt-4o-mini,4968,98,0.013400
2026-03-17,11:41:48,chatgpt,gpt-4o-mini,4968,88,0.013300
2026-03-18,11:43:57,chatgpt,gpt-4o-mini,4968,107,0.013490
2026-03-19,11:34:31,chatgpt,gpt-4o-mini,4968,74,0.013160
2026-03-20,11:30:00,chatgpt,gpt-4o-mini,6625,109,0.017653
2026-03-21,11:21:23,chatgpt,gpt-4o-mini,6625,105,0.017612
2026-03-22,11:22:14,chatgpt,gpt-4o-mini,6625,106,0.017622
2026-03-23,11:41:51,chatgpt,gpt-4o-mini,6625,110,0.017663
2026-03-24,11:43:41,chatgpt,gpt-4o-mini,6625,111,0.017673
2026-03-25,11:40:10,chatgpt,gpt-4o-mini,6625,100,0.017563
2026-03-26,11:48:47,chatgpt,gpt-4o-mini,6625,99,0.017553
