date,time,startup,stage,provider,input_tokens,output_tokens,cost
2026-03-09,10:19:05,unknown,block_A,claude,,,0.0000
2026-03-09,10:19:07,unknown,block_A,claude,,,0.0000
2026-03-09,10:19:09,unknown,block_A,claude,,,0.0000
2026-03-09,10:19:11,unknown,block_A,claude,,,0.0000
2026-03-09,10:19:14,unknown,block_A,claude,,,0.0000
2026-03-09,10:24:35,unknown,block_A,claude,,,0.0000
2026-03-09,10:24:37,unknown,block_A,claude,,,0.0000
2026-03-09,10:24:39,unknown,block_A,claude,,,0.0000
2026-03-09,10:24:41,unknown,block_A,claude,,,0.0000
2026-03-09,10:24:43,unknown,block_A,claude,,,0.0000
2026-03-09,10:29:04,unknown,block_A,claude,1584,684,0.0151
2026-03-09,10:29:20,unknown,block_B,claude,1589,762,0.0162
