date,time,startup,stage,provider,input_tokens,output_tokens,cost
2026-03-09,10:19:16,unknown,block_A,claude,,,0.0000
2026-03-09,10:19:18,unknown,block_A,claude,,,0.0000
2026-03-09,10:19:20,unknown,block_A,claude,,,0.0000
2026-03-09,10:19:22,unknown,block_A,claude,,,0.0000
2026-03-09,10:19:25,unknown,block_A,claude,,,0.0000
2026-03-09,10:24:46,unknown,block_A,claude,,,0.0000
2026-03-09,10:24:48,unknown,block_A,claude,,,0.0000
2026-03-09,10:24:50,unknown,block_A,claude,,,0.0000
2026-03-09,10:24:52,unknown,block_A,claude,,,0.0000
2026-03-09,10:24:54,unknown,block_A,claude,,,0.0000
2026-03-09,10:29:36,unknown,block_A,claude,1520,622,0.0139
2026-03-09,10:29:49,unknown,block_B,claude,1525,830,0.0170
