date,time,startup,stage,provider,input_tokens,output_tokens,cost
2026-03-09,10:19:27,unknown,block_A,claude,,,0.0000
2026-03-09,10:19:29,unknown,block_A,claude,,,0.0000
2026-03-09,10:19:31,unknown,block_A,claude,,,0.0000
2026-03-09,10:19:33,unknown,block_A,claude,,,0.0000
2026-03-09,10:19:36,unknown,block_A,claude,,,0.0000
2026-03-09,10:24:57,unknown,block_A,claude,,,0.0000
2026-03-09,10:24:59,unknown,block_A,claude,,,0.0000
2026-03-09,10:25:01,unknown,block_A,claude,,,0.0000
2026-03-09,10:25:03,unknown,block_A,claude,,,0.0000
2026-03-09,10:25:05,unknown,block_A,claude,,,0.0000
2026-03-09,10:30:01,unknown,block_A,claude,1569,497,0.0122
2026-03-09,10:30:14,unknown,block_B,claude,1574,662,0.0146
