date,time,startup,stage,provider,input_tokens,output_tokens,cost
2026-03-09,10:19:38,unknown,block_A,claude,,,0.0000
2026-03-09,10:19:40,unknown,block_A,claude,,,0.0000
2026-03-09,10:19:42,unknown,block_A,claude,,,0.0000
2026-03-09,10:19:44,unknown,block_A,claude,,,0.0000
2026-03-09,10:19:46,unknown,block_A,claude,,,0.0000
2026-03-09,10:25:07,unknown,block_A,claude,,,0.0000
2026-03-09,10:25:10,unknown,block_A,claude,,,0.0000
2026-03-09,10:25:12,unknown,block_A,claude,,,0.0000
2026-03-09,10:25:14,unknown,block_A,claude,,,0.0000
2026-03-09,10:25:16,unknown,block_A,claude,,,0.0000
2026-03-09,10:30:28,unknown,block_A,claude,1536,669,0.0146
2026-03-09,10:30:40,unknown,block_B,claude,1541,712,0.0153
