date,time,startup,stage,provider,input_tokens,output_tokens,cost
2026-03-09,10:20:00,unknown,block_A,claude,,,0.0000
2026-03-09,10:20:02,unknown,block_A,claude,,,0.0000
2026-03-09,10:20:04,unknown,block_A,claude,,,0.0000
2026-03-09,10:20:06,unknown,block_A,claude,,,0.0000
2026-03-09,10:20:08,unknown,block_A,claude,,,0.0000
2026-03-09,10:25:29,unknown,block_A,claude,,,0.0000
2026-03-09,10:25:32,unknown,block_A,claude,,,0.0000
2026-03-09,10:25:34,unknown,block_A,claude,,,0.0000
2026-03-09,10:25:36,unknown,block_A,claude,,,0.0000
2026-03-09,10:25:38,unknown,block_A,claude,,,0.0000
2026-03-09,10:31:23,unknown,block_A,claude,1569,767,0.0162
2026-03-09,10:31:33,unknown,block_B,claude,1574,782,0.0164
