date,time,startup,stage,provider,input_tokens,output_tokens,cost
2026-03-09,10:20:11,unknown,block_A,claude,,,0.0000
2026-03-09,10:20:13,unknown,block_A,claude,,,0.0000
2026-03-09,10:20:15,unknown,block_A,claude,,,0.0000
2026-03-09,10:20:17,unknown,block_A,claude,,,0.0000
2026-03-09,10:20:19,unknown,block_A,claude,,,0.0000
2026-03-09,10:25:40,unknown,block_A,claude,,,0.0000
2026-03-09,10:25:42,unknown,block_A,claude,,,0.0000
2026-03-09,10:25:45,unknown,block_A,claude,,,0.0000
2026-03-09,10:25:47,unknown,block_A,claude,,,0.0000
2026-03-09,10:25:49,unknown,block_A,claude,,,0.0000
2026-03-09,10:31:48,unknown,block_A,claude,1522,649,0.0143
2026-03-09,10:32:04,unknown,block_B,claude,1527,953,0.0189
