date,time,startup,stage,provider,input_tokens,output_tokens,cost
2026-03-09,10:20:32,unknown,block_A,claude,,,0.0000
2026-03-09,10:20:35,unknown,block_A,claude,,,0.0000
2026-03-09,10:20:37,unknown,block_A,claude,,,0.0000
2026-03-09,10:20:39,unknown,block_A,claude,,,0.0000
2026-03-09,10:20:41,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:02,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:04,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:07,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:09,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:11,unknown,block_A,claude,,,0.0000
2026-03-09,10:32:50,unknown,block_A,claude,1537,859,0.0175
2026-03-09,10:33:03,unknown,block_B,claude,1542,809,0.0167
