date,time,startup,stage,provider,input_tokens,output_tokens,cost
2026-03-09,10:20:43,unknown,block_A,claude,,,0.0000
2026-03-09,10:20:46,unknown,block_A,claude,,,0.0000
2026-03-09,10:20:48,unknown,block_A,claude,,,0.0000
2026-03-09,10:20:50,unknown,block_A,claude,,,0.0000
2026-03-09,10:20:52,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:13,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:15,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:17,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:20,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:22,unknown,block_A,claude,,,0.0000
2026-03-09,10:33:19,unknown,block_A,claude,1514,610,0.0137
2026-03-09,10:33:37,unknown,block_B,claude,1519,892,0.0180
