date,time,startup,stage,provider,input_tokens,output_tokens,cost
2026-03-09,10:20:54,unknown,block_A,claude,,,0.0000
2026-03-09,10:20:57,unknown,block_A,claude,,,0.0000
2026-03-09,10:20:59,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:01,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:03,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:24,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:26,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:28,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:31,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:33,unknown,block_A,claude,,,0.0000
2026-03-09,10:33:49,unknown,block_A,claude,1558,572,0.0133
2026-03-09,10:34:02,unknown,block_B,claude,1563,778,0.0164
