date,time,startup,stage,provider,input_tokens,output_tokens,cost
2026-03-09,10:21:05,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:07,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:10,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:12,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:14,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:35,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:37,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:39,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:41,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:44,unknown,block_A,claude,,,0.0000
2026-03-09,10:34:17,unknown,block_A,claude,1573,579,0.0134
2026-03-09,10:34:29,unknown,block_B,claude,1578,793,0.0166
