date,time,startup,stage,provider,input_tokens,output_tokens,cost
2026-03-09,10:21:16,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:18,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:21,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:23,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:25,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:46,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:48,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:50,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:52,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:55,unknown,block_A,claude,,,0.0000
2026-03-09,10:34:43,unknown,block_A,claude,1530,644,0.0143
2026-03-09,10:34:59,unknown,block_B,claude,1535,775,0.0162
