date,time,startup,stage,provider,input_tokens,output_tokens,cost
2026-03-09,10:21:38,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:40,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:42,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:45,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:47,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:08,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:10,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:12,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:14,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:16,unknown,block_A,claude,,,0.0000
2026-03-09,10:35:36,unknown,block_A,claude,1571,661,0.0146
2026-03-09,10:35:49,unknown,block_B,claude,1577,936,0.0187
