date,time,startup,stage,provider,input_tokens,output_tokens,cost
2026-03-09,10:21:49,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:51,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:53,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:56,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:58,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:19,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:21,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:23,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:25,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:27,unknown,block_A,claude,,,0.0000
2026-03-09,10:36:01,unknown,block_A,claude,1554,824,0.0171
2026-03-09,10:36:11,unknown,block_B,claude,1559,740,0.0158
