date,time,startup,stage,provider,input_tokens,output_tokens,cost
2026-03-09,10:22:00,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:02,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:04,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:07,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:09,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:30,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:32,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:34,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:36,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:38,unknown,block_A,claude,,,0.0000
2026-03-09,10:36:23,unknown,block_A,claude,1567,732,0.0157
2026-03-09,10:36:36,unknown,block_B,claude,1572,656,0.0145
