date,time,startup,stage,provider,input_tokens,output_tokens,cost
2026-03-09,10:22:11,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:13,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:15,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:17,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:20,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:41,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:43,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:45,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:47,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:49,unknown,block_A,claude,,,0.0000
2026-03-09,10:36:56,unknown,block_A,claude,1555,780,0.0164
2026-03-09,10:37:11,unknown,block_B,claude,1560,710,0.0153
