date,time,startup,stage,provider,input_tokens,output_tokens,cost
2026-03-09,10:22:22,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:24,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:26,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:28,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:31,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:51,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:54,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:56,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:58,unknown,block_A,claude,,,0.0000
2026-03-09,10:28:00,unknown,block_A,claude,,,0.0000
2026-03-09,10:37:27,unknown,block_A,claude,1527,664,0.0146
2026-03-09,10:37:39,unknown,block_B,claude,1532,691,0.0150
