date,time,startup,stage,provider,input_tokens,output_tokens,cost
2026-03-09,10:22:33,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:35,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:37,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:39,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:42,unknown,block_A,claude,,,0.0000
2026-03-09,10:28:02,unknown,block_A,claude,,,0.0000
2026-03-09,10:28:05,unknown,block_A,claude,,,0.0000
2026-03-09,10:28:07,unknown,block_A,claude,,,0.0000
2026-03-09,10:28:09,unknown,block_A,claude,,,0.0000
2026-03-09,10:28:11,unknown,block_A,claude,,,0.0000
2026-03-09,10:37:55,unknown,block_A,claude,1569,606,0.0138
2026-03-09,10:38:07,unknown,block_B,claude,1574,738,0.0158
