date,time,startup,stage,provider,input_tokens,output_tokens,cost
2026-03-09,10:22:44,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:46,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:48,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:50,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:52,unknown,block_A,claude,,,0.0000
2026-03-09,10:28:13,unknown,block_A,claude,,,0.0000
2026-03-09,10:28:15,unknown,block_A,claude,,,0.0000
2026-03-09,10:28:18,unknown,block_A,claude,,,0.0000
2026-03-09,10:28:20,unknown,block_A,claude,,,0.0000
2026-03-09,10:28:22,unknown,block_A,claude,,,0.0000
2026-03-09,10:38:19,unknown,block_A,claude,1532,653,0.0144
2026-03-09,10:38:31,unknown,block_B,claude,1537,651,0.0144
