date,time,startup,stage,provider,input_tokens,output_tokens,cost
2026-03-09,10:22:55,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:57,unknown,block_A,claude,,,0.0000
2026-03-09,10:22:59,unknown,block_A,claude,,,0.0000
2026-03-09,10:23:01,unknown,block_A,claude,,,0.0000
2026-03-09,10:23:03,unknown,block_A,claude,,,0.0000
2026-03-09,10:28:24,unknown,block_A,claude,,,0.0000
2026-03-09,10:28:26,unknown,block_A,claude,,,0.0000
2026-03-09,10:28:29,unknown,block_A,claude,,,0.0000
2026-03-09,10:28:31,unknown,block_A,claude,,,0.0000
2026-03-09,10:28:33,unknown,block_A,claude,,,0.0000
2026-03-09,10:38:46,unknown,block_A,claude,1540,704,0.0152
2026-03-09,10:38:57,unknown,block_B,claude,1545,672,0.0147
