date,time,startup,stage,provider,input_tokens,output_tokens,cost
2026-03-30,05:39:40,unknown,block_A,claude,,,0.0000
2026-03-30,05:39:42,unknown,block_A,claude,,,0.0000
2026-03-30,05:39:45,unknown,block_A,claude,,,0.0000
2026-03-30,05:39:47,unknown,block_A,claude,,,0.0000
2026-03-30,05:54:54,unknown,block_A,chatgpt,0,0,0.0000
2026-03-30,05:55:42,unknown,block_A,chatgpt,0,0,0.0000
2026-03-30,06:00:49,unknown,block_A,chatgpt,0,0,0.0000
2026-03-30,06:09:05,unknown,block_A,chatgpt,0,0,0.0000
2026-03-30,06:15:43,unknown,block_A,chatgpt,3159,1517,0.0231
2026-03-30,06:16:19,unknown,block_A,chatgpt,3159,1549,0.0234
2026-03-30,06:16:54,unknown,block_A,chatgpt,3159,1613,0.0240
2026-03-30,06:17:30,unknown,block_A,chatgpt,3159,1604,0.0239
2026-03-30,06:18:17,unknown,block_A,chatgpt,2740,992,0.0168
2026-03-30,06:18:36,unknown,block_A,chatgpt,2740,920,0.0161
2026-03-30,06:18:54,unknown,block_A,chatgpt,2740,919,0.0161
2026-03-30,06:19:20,unknown,block_A,chatgpt,2740,989,0.0168
2026-03-30,06:19:39,unknown,block_A,chatgpt,2740,895,0.0158
2026-03-30,06:21:03,unknown,block_A,chatgpt,3157,706,0.0150
2026-03-30,06:21:22,unknown,block_B,chatgpt,3158,838,0.0163
2026-03-30,06:31:46,unknown,block_A,chatgpt,3157,703,0.0149
2026-03-30,06:32:02,unknown,block_B,chatgpt,3158,837,0.0163
2026-03-30,06:34:33,unknown,block_A,chatgpt,3157,703,0.0149
2026-03-30,06:34:50,unknown,block_B,chatgpt,3158,837,0.0163
2026-03-30,06:48:21,invoicetool,block_A,chatgpt,3157,767,0.0156
2026-03-30,06:48:39,invoicetool,block_B,chatgpt,3158,837,0.0163
