timestamp,caller,model,input_tokens,output_tokens,cost_usd,duration_s,startup_id,note
2026-03-17 15:58:16,classify_with_ai,claude-haiku-4-5-20251001,185,31,0.000272,0.7,wynwood_thoroughbreds,4 ambiguous features
2026-03-17 15:58:49,classify_with_ai,claude-haiku-4-5-20251001,185,31,0.000272,0.7,wynwood_thoroughbreds,4 ambiguous features
2026-03-17 15:58:59,decompose_intake,gpt-4o,5026,899,0.021555,9.5,wynwood_thoroughbreds,prompt 22267 chars
2026-03-17 16:02:26,classify_with_ai,claude-haiku-4-5-20251001,185,31,0.000272,0.8,wynwood_thoroughbreds,4 ambiguous features
2026-03-17 16:02:44,decompose_intake,gpt-4o,5191,1454,0.027518,18.1,wynwood_thoroughbreds,prompt 22978 chars
2026-03-17 16:07:03,classify_with_ai,claude-haiku-4-5-20251001,185,31,0.000272,0.9,wynwood_thoroughbreds,4 ambiguous features
2026-03-17 16:07:22,decompose_intake,gpt-4o,5337,1373,0.027072,18.3,wynwood_thoroughbreds,prompt 23583 chars
2026-03-17 16:08:43,classify_with_ai,claude-haiku-4-5-20251001,185,31,0.000272,0.8,wynwood_thoroughbreds,4 ambiguous features
2026-03-17 16:09:09,decompose_intake,gpt-4o,5392,1458,0.028060,25.5,wynwood_thoroughbreds,prompt 23839 chars
2026-03-17 16:11:10,classify_with_ai,claude-haiku-4-5-20251001,185,31,0.000272,1.1,wynwood_thoroughbreds,4 ambiguous features
2026-03-17 16:11:30,decompose_intake,gpt-4o,5392,1848,0.031960,18.9,wynwood_thoroughbreds,prompt 23839 chars
2026-03-17 16:11:35,retry_coverage_gaps,gpt-4o,4306,332,0.014085,5.1,wynwood_thoroughbreds,2 gaps
2026-03-17 16:12:48,classify_with_ai,claude-haiku-4-5-20251001,185,31,0.000272,1.1,wynwood_thoroughbreds,4 ambiguous features
2026-03-17 16:13:15,decompose_intake,gpt-4o,5392,1874,0.032220,26.7,wynwood_thoroughbreds,prompt 23839 chars
2026-03-17 16:13:21,retry_coverage_gaps,gpt-4o,4307,291,0.013678,5.7,wynwood_thoroughbreds,2 gaps
2026-03-17 16:14:32,classify_with_ai,claude-haiku-4-5-20251001,185,31,0.000272,0.9,wynwood_thoroughbreds,4 ambiguous features
2026-03-17 16:14:49,decompose_intake,gpt-4o,5392,1387,0.027350,16.5,wynwood_thoroughbreds,prompt 23839 chars
2026-03-17 16:14:58,retry_coverage_gaps,gpt-4o,4303,645,0.017208,8.6,wynwood_thoroughbreds,2 gaps
2026-03-17 17:11:42,classify_with_ai,claude-haiku-4-5-20251001,185,31,0.000272,1.0,wynwood_thoroughbreds,4 ambiguous features
2026-03-17 17:12:07,decompose_intake,gpt-4o,5392,1827,0.031750,23.8,wynwood_thoroughbreds,prompt 23839 chars
2026-03-17 17:12:11,retry_coverage_gaps,gpt-4o,4300,168,0.012430,3.8,wynwood_thoroughbreds,1 gaps
2026-03-18 09:54:57,classify_with_ai,claude-haiku-4-5-20251001,185,31,0.000272,0.9,wynwood_thoroughbreds,4 ambiguous features
2026-03-18 09:55:28,decompose_intake,gpt-4o,5392,1420,0.027680,30.7,wynwood_thoroughbreds,prompt 23839 chars
2026-03-18 10:10:18,classify_with_ai,claude-haiku-4-5-20251001,185,31,0.000272,0.8,wynwood_thoroughbreds,4 ambiguous features
2026-03-18 10:10:50,decompose_intake,gpt-4o,5392,1845,0.031930,31.2,wynwood_thoroughbreds,prompt 23839 chars
2026-03-18 10:10:54,retry_coverage_gaps,gpt-4o,4307,329,0.014058,4.4,wynwood_thoroughbreds,2 gaps
